"""Main Muscle Worked""","""Level""","""pic_right""","""Mechanics Type""","""Equipment""","""Type""","""name""","""Other Muscles"""
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/l/669_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean,"Calves, Forearms, Glutes, Lower Back, Quadriceps, Shoulders, Traps"
Shoulders,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/670/Male/l/670_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean and Jerk,"Abdominals, Glutes, Hamstrings, Lower Back, Quadriceps, Traps, Triceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/671/Male/l/671_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean Deadlift,"Forearms, Glutes, Lower Back, Middle Back, Quadriceps, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/l/746_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean from Blocks,"Calves, Glutes, Hamstrings, Shoulders, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/672/Male/l/672_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean Pull,"Forearms, Glutes, Hamstrings, Lower Back, Traps"
Traps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/673/Male/l/673_1.jpg,Compound,Barbell,Olympic Weightlifting,Clean Shrug,"Forearms, Shoulders"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/684/Male/l/684_1.jpg,Compound,Barbell,Olympic Weightlifting,Frankenstein Squat,"Abdominals, Calves, Glutes, Hamstrings"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/l/688_1.jpg,Compound,Barbell,Olympic Weightlifting,Hang Clean,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Shoulders, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/689/Male/l/689_1.jpg,Compound,Barbell,Olympic Weightlifting,Hang Clean - Below the Knees,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Shoulders, Traps"
Hamstrings,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/l/690_1.jpg,Compound,Barbell,Olympic Weightlifting,Hang Snatch,"Abdominals, Calves, Forearms, Glutes, Lower Back, Quadriceps, Shoulders, Traps"
Hamstrings,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/691/Male/l/691_1.jpg,Compound,Barbell,Olympic Weightlifting,Hang Snatch - Below Knees,"Abdominals, Calves, Forearms, Glutes, Lower Back, Quadriceps, Shoulders, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/693/Male/l/693_1.jpg,Compound,Barbell,Olympic Weightlifting,Heaving Snatch Balance,"Abdominals, Forearms, Glutes, Hamstrings, Shoulders, Triceps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/694/Male/l/694_1.jpg,Compound,Barbell,Olympic Weightlifting,Jerk Balance,"Glutes, Hamstrings, Quadriceps, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/695/Male/l/695_1.jpg,Compound,Barbell,Olympic Weightlifting,Jerk Dip Squat,"Abdominals, Calves"
Glutes,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/749/Male/l/749_1.jpg,Compound,Barbell,Olympic Weightlifting,Kneeling Jump Squat,"Calves, Hamstrings, Quadriceps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/699/Male/l/699_1.jpg,Compound,Barbell,Olympic Weightlifting,Muscle Snatch,"Glutes, Lower Back, Quadriceps, Shoulders, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/700/Male/l/700_1.jpg,Compound,Barbell,Olympic Weightlifting,Olympic Squat,"Calves, Glutes, Hamstrings"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/248/Male/l/248_1.jpg,Compound,Barbell,Olympic Weightlifting,Overhead Squat,"Abdominals, Calves, Glutes, Hamstrings, Lower Back, Shoulders, Triceps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/l/748_1.jpg,Compound,Barbell,Olympic Weightlifting,Power Clean from Blocks,Quadriceps
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/702/Male/l/702_1.jpg,Compound,Barbell,Olympic Weightlifting,Power Jerk,"Abdominals, Calves, Glutes, Hamstrings, Shoulders, Triceps"
Hamstrings,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/l/703_1.jpg,Compound,Barbell,Olympic Weightlifting,Power Snatch,"Calves, Glutes, Lower Back, Quadriceps, Shoulders, Traps, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/747/Male/l/747_1.jpg,Compound,Barbell,Olympic Weightlifting,Power Snatch from Blocks,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Shoulders, Traps, Triceps"
Shoulders,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/l/186_1.jpg,Compound,Barbell,Olympic Weightlifting,Push Press,"Quadriceps, Triceps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/708/Male/l/708_1.jpg,Compound,Barbell,Olympic Weightlifting,Push Press - Behind the Neck,"Calves, Quadriceps, Triceps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/709/Male/l/709_1.jpg,Compound,Barbell,Olympic Weightlifting,Rack Delivery,"Forearms, Traps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/l/751_1.jpg,Compound,Barbell,Olympic Weightlifting,Romanian Deadlift from Deficit,"Forearms, Glutes, Lower Back, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/187/Male/l/187_1.jpg,Compound,Barbell,Olympic Weightlifting,Snatch,"Biceps, Glutes, Hamstrings, Lower Back, Shoulders, Traps, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/715/Male/l/715_1.jpg,Compound,Barbell,Olympic Weightlifting,Snatch Balance,"Calves, Glutes, Hamstrings, Shoulders, Triceps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/716/Male/l/716_1.jpg,Compound,Barbell,Olympic Weightlifting,Snatch Deadlift,"Forearms, Glutes, Hamstrings, Lower Back, Quadriceps, Traps"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/745/Male/l/745_1.jpg,Compound,Barbell,Olympic Weightlifting,Snatch from Blocks,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Shoulders, Traps, Triceps"
Traps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/718/Male/l/718_1.jpg,Compound,Barbell,Olympic Weightlifting,Snatch Shrug,"Forearms, Shoulders"
